data,id,nazwa,ogolem,liczba_zgonow,liczba_wyleczonych,osoby_z_kwarantanny_po_powrocie_z_zagranicy,osoby_z_kwarantanny_po_kontakcie_z_osoba_zakazona,zachorowania_poprzez_kontakt_w_szpitalu_lub_przychodni,zachorowania_w_dps,zachorowania_w_zol,zaklady_pracy,szkoly,uczelnie,akademiki,wesela,puby_kawiarnie_restauracje_kluby,transport_publiczny,inne_przypadki_zachorowan
2020-06-29,12,olkuski,11,0,10,1,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,5
2020-06-29,13,oświęcimski,103,4,60,2,46,13,0,0,NA,NA,NA,NA,NA,NA,NA,42
2020-06-29,14,proszowicki,11,2,6,0,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,6
2020-06-29,15,suski,194,0,90,0,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,79
2020-06-29,16,tarnowski,108,3,16,3,77,2,22,0,NA,NA,NA,NA,NA,NA,NA,4
2020-06-29,17,tatrzański,6,0,3,1,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-06-29,18,wadowicki,32,2,14,0,16,4,0,0,NA,NA,NA,NA,NA,NA,NA,12
2020-06-29,19,wielicki,127,5,112,1,117,9,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-06-29,20,m. Kraków,336,19,246,22,104,99,0,0,NA,NA,NA,NA,NA,NA,NA,111
2020-06-29,21,m. Nowy Sącz,31,0,28,3,27,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-06-29,22,m. Tarnów,14,0,12,8,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-06-30,1,bocheński,152,3,139,2,65,12,54,0,NA,NA,NA,NA,NA,NA,NA,19
2020-06-30,2,brzeski,68,2,64,2,5,48,0,2,NA,NA,NA,NA,NA,NA,NA,11
2020-06-30,3,chrzanowski,37,0,23,1,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,18
2020-06-30,4,dąbrowski,15,0,11,2,12,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-06-30,5,gorlicki,10,0,7,1,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,2
2020-06-30,6,krakowski,86,1,62,4,38,19,0,0,NA,NA,NA,NA,NA,NA,NA,25
2020-06-30,7,limanowski,122,3,101,0,68,25,0,0,NA,NA,NA,NA,NA,NA,NA,29
2020-06-30,8,miechowski,12,0,12,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-06-30,9,myślenicki,159,0,149,0,86,18,0,0,NA,NA,NA,NA,NA,NA,NA,55
2020-06-30,10,nowosądecki,87,0,30,7,80,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-06-30,11,nowotarski,14,0,9,2,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-06-30,12,olkuski,11,0,10,1,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,5
2020-06-30,13,oświęcimski,104,4,60,2,46,13,0,0,NA,NA,NA,NA,NA,NA,NA,43
2020-06-30,14,proszowicki,11,2,6,0,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,6
2020-06-30,15,suski,194,0,102,0,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,79
2020-06-30,16,tarnowski,113,3,19,3,82,2,22,0,NA,NA,NA,NA,NA,NA,NA,4
2020-06-30,17,tatrzański,6,0,3,1,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-06-30,18,wadowicki,32,2,14,0,16,4,0,0,NA,NA,NA,NA,NA,NA,NA,12
2020-06-30,19,wielicki,127,5,113,1,117,9,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-06-30,20,m. Kraków,338,19,248,22,104,99,0,0,NA,NA,NA,NA,NA,NA,NA,113
2020-06-30,21,m. Nowy Sącz,33,0,28,3,29,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-06-30,22,m. Tarnów,14,0,12,8,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-07-01,1,bocheński,152,3,139,2,65,12,54,0,NA,NA,NA,NA,NA,NA,NA,19
2020-07-01,2,brzeski,68,2,64,2,5,48,0,2,NA,NA,NA,NA,NA,NA,NA,11
2020-07-01,3,chrzanowski,37,0,23,1,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,18
2020-07-01,4,dąbrowski,15,0,11,2,12,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-01,5,gorlicki,10,0,7,1,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,2
2020-07-01,6,krakowski,86,1,63,4,38,19,0,0,NA,NA,NA,NA,NA,NA,NA,25
2020-07-01,7,limanowski,124,3,104,0,68,25,0,0,NA,NA,NA,NA,NA,NA,NA,31
2020-07-01,8,miechowski,12,0,12,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-07-01,9,myślenicki,159,0,149,0,86,18,0,0,NA,NA,NA,NA,NA,NA,NA,55
2020-07-01,10,nowosądecki,96,0,30,7,89,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-01,11,nowotarski,14,0,9,2,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-07-01,12,olkuski,11,0,10,1,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,5
2020-07-01,13,oświęcimski,104,4,63,2,46,13,0,0,NA,NA,NA,NA,NA,NA,NA,43
2020-07-01,14,proszowicki,11,2,6,0,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,6
2020-07-01,15,suski,194,0,107,0,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,79
2020-07-01,16,tarnowski,113,3,19,3,82,2,22,0,NA,NA,NA,NA,NA,NA,NA,4
2020-07-01,17,tatrzański,6,0,4,1,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-07-01,18,wadowicki,32,2,14,0,16,4,0,0,NA,NA,NA,NA,NA,NA,NA,12
2020-07-01,19,wielicki,127,5,115,1,117,9,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-01,20,m. Kraków,344,19,248,23,104,99,0,0,NA,NA,NA,NA,NA,NA,NA,118
2020-07-01,21,m. Nowy Sącz,34,0,28,3,30,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-01,22,m. Tarnów,14,0,12,8,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-07-02,1,bocheński,152,3,139,2,65,12,54,0,NA,NA,NA,NA,NA,NA,NA,19
2020-07-02,2,brzeski,68,2,64,2,5,48,0,2,NA,NA,NA,NA,NA,NA,NA,11
2020-07-02,3,chrzanowski,37,0,23,1,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,18
