Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 9.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,"Uczelnie /akademiki",Wesela,"Puby,kawiarnie,restauracje,kluby","Inne przypadkizachorowań"
1,bocheński,447,106 858,"41,83",30,384,26,3,125,13,240,0,12,17,0,26,0,11
2,brzeski,151,93 201,"16,20",2,99,48,3,33,50,1,2,1,0,0,0,21,40
3,chrzanowski,90,124 536,"7,23",3,56,31,1,35,1,0,0,16,0,0,2,0,35
4,dąbrowski,47,59 174,"7,94",0,39,8,2,38,1,0,0,0,0,0,0,0,6
5,gorlicki,150,108 886,"13,78",2,106,42,2,97,5,0,0,0,5,0,0,0,41
6,krakowski,376,279 239,"13,47",3,257,116,6,120,29,0,0,5,0,0,2,4,210
7,limanowski,573,131 764,"43,49 / 10,17",8,430,134,0,355,29,0,0,0,0,0,0,0,189
8,miechowski,50,48 818,"10,24",0,37,13,0,25,0,0,0,0,0,0,0,0,25
9,myślenicki,321,127 600,"25,16",0,263,58,0,154,21,0,0,55,0,0,2,0,89
10,nowosądecki,1 300,216 796,"59,96 / 21,63",17,814,469,7,817,45,64,1,276,3,0,19,0,68
11,nowotarski,633,191 782,"33,01 / 12,10",11,390,232,2,300,70,0,0,8,2,0,0,0,251
12,olkuski,68,111 217,"6,11",0,44,24,4,7,8,0,0,20,0,0,0,0,29
13,oświęcimski,395,153 486,"25,74",6,339,50,2,210,16,0,0,0,0,0,0,0,167
14,proszowicki,39,43 222,"9,02",2,27,10,2,7,7,2,0,0,0,0,0,0,21
15,suski,278,84 232,"33,00",2,250,26,2,141,4,0,0,55,0,0,19,0,57
16,tarnowski,289,201 497,"14,34",9,230,50,6,162,3,56,0,0,0,0,0,0,62
17,tatrzański,287,68 072,"42,16",4,245,38,2,171,13,0,0,19,0,0,0,0,82
18,wadowicki,312,160 006,"19,50",6,220,86,0,184,28,1,0,7,0,0,0,0,92
19,wielicki,298,129 136,"23,08",5,172,120,1,231,9,0,0,2,0,0,0,0,55
20,m. Kraków,1 738,779 115,"22,31",29,1 217,492,32,447,131,0,0,25,0,0,34,32,1 037
21,m. Nowy Sącz,499,83 794,"59,55 / 28,52",13,247,239,3,265,17,105,0,102,0,0,7,0,0
22,m. Tarnów,79,108 470,"7,28",0,55,24,8,22,3,0,0,0,0,0,0,0,46
"RazemMałopolska",8 420,3 410 901,"24,69",152,5 921,2 336,88,3 946,503,469,3,603,27,0,111,57,2 613,
