"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 20.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,456,106 858,"42,67",30,400,19,3,126,13,240,0,12,17,0,0,26,0,0,19
"",2,brzeski,165,93 201,"17,70",2,145,16,3,33,50,9,2,1,0,0,0,0,21,0,46
"",3,chrzanowski,106,124 536,"8,51",4,72,30,1,38,5,0,0,16,0,0,0,2,0,0,44
"",4,dąbrowski,53,59 174,"8,96",0,47,6,2,38,1,0,0,0,0,0,0,0,0,0,12
"",5,gorlicki,155,108 886,"14,24",2,143,10,2,84,5,0,0,0,5,0,0,13,0,0,46
"",6,krakowski,503,279 239,"18,01",4,366,133,6,139,33,1,0,5,2,0,0,2,4,0,311
"",7,limanowski,642,131 764,"48,72 / 11,16",8,486,147,0,357,29,2,0,0,3,0,0,0,0,1,250
"",8,miechowski,79,48 818,"16,18",0,46,33,0,26,0,0,0,0,0,0,0,0,0,0,53
"",9,myślenicki,442,127 600,"34,64",0,323,119,0,187,24,0,0,70,3,0,0,2,0,0,156
"",10,nowosądecki,1 346,216 796,"62,09 / 17,57",20,945,381,7,860,47,64,1,276,4,0,0,19,0,0,68
"",11,nowotarski,787,191 782,"41,04 / 13,35",15,515,256,2,351,71,2,0,16,7,0,0,0,0,1,337
"",12,olkuski,129,111 217,"11,60",0,65,64,4,15,8,0,0,39,8,0,0,0,0,0,55
"",13,oświęcimski,415,153 486,"27,04",8,369,38,2,212,17,0,0,0,0,0,0,0,0,0,184
"",14,proszowicki,62,43 222,"14,34",3,37,22,2,8,7,22,0,0,0,0,0,0,0,0,23
"",15,suski,320,84 232,"37,99",2,276,42,2,145,5,,,55,2,,,19,,,92
"",16,tarnowski,296,201 497,"14,69",9,263,24,6,162,3,56,0,0,0,0,0,0,0,0,69
"",17,tatrzański,347,68 072,"50,98",4,278,65,2,175,13,2,0,27,18,0,0,0,0,0,110
"",18,wadowicki,349,160 006,"21,81",7,254,88,0,189,28,1,0,9,1,0,0,0,0,0,121
"",19,wielicki,314,129 136,"24,32",6,276,30,1,232,9,0,0,2,0,0,0,0,0,0,70
"",20,m. Kraków,1 970,779 115,"25,29",33,1 604,333,33,474,169,3,0,25,4,0,0,34,32,0,1 196
"",21,m. Nowy Sącz,522,83 794,"62,30 / 15,63",14,377,131,3,286,19,105,0,102,0,0,0,7,0,0,0
"",22,m. Tarnów,87,108 470,"8,02",1,72,14,8,22,4,0,0,0,0,0,0,0,0,0,53
"RazemMałopolska",9 545,3 410 901,"27,98",172,7 359,2 001,89,4 159,560,507,3,655,74,0,0,124,57,2,3 315,,
