Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 11.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,"Uczelnie /akademiki",Wesela,"Puby,kawiarnie,restauracje,kluby","Inne przypadkizachorowań"
1,bocheński,447,106 858,"41,83",30,390,20,3,125,13,240,0,12,17,0,26,0,11
2,brzeski,151,93 201,"16,20",2,125,22,3,33,50,1,2,1,0,0,0,21,40
3,chrzanowski,93,124 536,"7,47",4,63,26,1,38,1,0,0,16,0,0,2,0,35
4,dąbrowski,49,59 174,"8,28",0,45,4,2,38,1,0,0,0,0,0,0,0,8
5,gorlicki,151,108 886,"13,87",2,115,34,2,97,5,0,0,0,5,0,0,0,42
6,krakowski,406,279 239,"14,54",3,276,127,6,125,29,0,0,5,0,0,2,4,235
7,limanowski,586,131 764,"44,47 / 10,25",8,442,135,0,357,29,0,0,0,0,0,0,0,200
8,miechowski,65,48 818,"13,31",0,41,24,0,25,0,0,0,0,0,0,0,0,40
9,myślenicki,343,127 600,"26,88",0,275,68,0,167,21,0,0,60,0,0,2,0,93
10,nowosądecki,1 301,216 796,"60,01 / 19,65",18,857,426,7,818,45,64,1,276,3,0,19,0,68
11,nowotarski,652,191 782,"34,00 / 11,16",12,426,214,2,306,70,0,0,10,3,0,0,0,261
12,olkuski,72,111 217,"6,47",0,48,24,4,7,8,0,0,20,0,0,0,0,33
13,oświęcimski,398,153 486,"25,93",6,342,50,2,210,16,0,0,0,0,0,0,0,170
14,proszowicki,42,43 222,"9,72",2,31,9,2,8,7,3,0,0,0,0,0,0,22
15,suski,281,84 232,"33,36",2,251,28,2,141,4,0,0,55,1,0,19,0,59
16,tarnowski,290,201 497,"14,39",9,240,41,6,162,3,56,0,0,0,0,0,0,63
17,tatrzański,295,68 072,"43,34",4,254,37,2,174,13,0,0,19,2,0,0,0,85
18,wadowicki,317,160 006,"19,81",6,220,91,0,185,28,1,0,7,0,0,0,0,96
19,wielicki,302,129 136,"23,39",5,247,49,1,232,9,0,0,2,0,0,0,0,58
20,m. Kraków,1 812,779 115,"23,26",29,1 275,508,32,459,136,0,0,25,0,0,34,32,1 094
21,m. Nowy Sącz,501,83 794,"59,79 / 27,21",13,260,228,3,267,17,105,0,102,0,0,7,0,0
22,m. Tarnów,81,108 470,"7,47",0,58,23,8,22,3,0,0,0,0,0,0,0,48
"RazemMałopolska",8 635,3 410 901,"25,32",155,6 281,2 188,88,3 996,508,470,3,610,31,0,111,57,2 761,
