"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 23.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,462,106 858,"43,23",30,402,23,3,126,13,240,0,12,17,0,0,28,0,0,23
"",2,brzeski,165,93 201,"17,70",2,146,15,3,33,50,9,2,1,0,0,0,0,21,0,46
"",3,chrzanowski,111,124 536,"8,91",4,80,27,1,38,6,0,0,16,0,0,0,2,0,0,48
"",4,dąbrowski,55,59 174,"9,29",0,49,6,2,38,1,0,0,0,0,0,0,0,0,0,14
"",5,gorlicki,157,108 886,"14,42",2,143,12,2,84,5,0,0,0,5,0,0,13,0,0,48
"",6,krakowski,532,279 239,"19,05",4,394,134,6,150,33,1,0,5,3,0,0,2,4,0,328
"",7,limanowski,661,131 764,"50,17 / 11,76",8,497,155,0,357,29,3,0,0,4,0,0,0,0,1,267
"",8,miechowski,79,48 818,"16,18",0,57,22,0,26,0,0,0,0,0,0,0,0,0,0,53
"",9,myślenicki,477,127 600,"37,38 / 10,58",0,342,135,0,190,25,0,0,71,4,0,0,2,0,0,185
"",10,nowosądecki,1 374,216 796,"63,38 / 13,33",22,1 063,289,7,884,47,64,1,277,6,0,0,20,0,0,68
"",11,nowotarski,831,191 782,"43,33 / 14,44",18,534,277,2,352,74,23,0,18,7,0,0,0,0,1,354
"",12,olkuski,137,111 217,"12,32",0,77,60,4,15,8,0,0,43,8,0,0,0,0,0,59
"",13,oświęcimski,422,153 486,"27,49",8,382,32,2,212,17,0,0,0,0,0,0,0,0,0,191
"",14,proszowicki,64,43 222,"14,81",3,38,23,2,8,7,22,0,0,0,0,0,0,0,0,25
"",15,suski,340,84 232,"40,36",3,286,51,2,152,5,0,0,60,2,0,0,19,0,0,100
"",16,tarnowski,298,201 497,"14,79",9,274,14,6,162,3,56,,0,0,0,0,0,0,0,71
"",17,tatrzański,357,68 072,"52,44 / 10,14",4,284,69,2,175,13,2,0,27,18,0,0,0,0,0,120
"",18,wadowicki,364,160 006,"22,75",7,264,93,0,189,29,1,0,9,1,0,0,0,0,0,135
"",19,wielicki,321,129 136,"24,86",6,276,37,1,232,9,0,0,2,0,0,0,0,0,0,77
"",20,m. Kraków,2 049,779 115,"26,30",36,1 679,334,33,479,179,3,0,25,5,0,0,34,32,0,1 259
"",21,m. Nowy Sącz,532,83 794,"63,49 / 15,87",15,384,133,3,293,20,106,0,103,0,0,0,7,0,0,0
"",22,m. Tarnów,87,108 470,"8,02",1,80,6,8,22,4,0,0,0,0,0,0,0,0,0,53
"RazemMałopolska",9 875,3 410 901,"28,95",182,7 731,1 947,89,4 217,577,530,3,669,80,0,0,127,57,2,3 524,,
