"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 29.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,484,106 858,"45,29",30,403,44,3,128,13,240,0,12,23,0,0,31,0,0,34
"",2,brzeski,171,93 201,"18,35",2,150,17,3,33,50,11,2,2,0,0,0,0,21,0,49
"",3,chrzanowski,131,124 536,"10,52",4,88,39,1,39,7,0,0,16,0,0,0,8,0,0,60
"",4,dąbrowski,65,59 174,"10,98",0,51,14,2,39,2,0,0,0,0,0,0,0,0,0,22
"",5,gorlicki,164,108 886,"15,06",2,146,16,2,84,7,0,0,0,7,0,0,13,0,0,51
"",6,krakowski,617,279 239,"22,10",5,496,116,6,167,39,1,0,5,4,0,0,2,4,0,389
"",7,limanowski,766,131 764,"58,13 / 19,20",9,503,253,0,367,29,28,0,0,10,0,0,0,0,1,331
"",8,miechowski,97,48 818,"19,87",0,67,30,0,29,0,0,0,0,0,0,0,0,0,0,68
"",9,myślenicki,597,127 600,"46,79 / 15,99",1,392,204,0,214,26,6,0,73,7,0,0,2,0,0,269
"",10,nowosądecki,1 444,216 796,"66,61",24,1 234,186,7,910,67,64,1,284,22,0,0,20,0,0,69
"",11,nowotarski,948,191 782,"49,43 / 16,79",20,603,322,2,369,76,23,0,24,7,0,0,0,0,1,446
"",12,olkuski,163,111 217,"14,66",1,99,63,4,15,8,0,0,49,11,0,0,0,0,0,76
"",13,oświęcimski,450,153 486,"29,32",8,394,48,2,216,17,0,0,0,0,0,0,0,0,0,215
"",14,proszowicki,73,43 222,"16,89",3,44,26,2,8,8,26,0,0,0,0,0,0,0,0,29
"",15,suski,372,84 232,"44,16",3,310,59,2,162,5,0,0,60,4,0,0,19,0,0,120
"",16,tarnowski,319,201 497,"15,83",9,281,28,6,162,9,56,0,0,0,0,0,0,0,0,86
"",17,tatrzański,440,68 072,"64,64 / 18,22",6,310,124,2,178,32,26,0,28,24,0,0,0,0,0,150
"",18,wadowicki,417,160 006,"26,06",7,288,122,0,191,32,13,0,14,1,0,0,0,0,0,166
"",19,wielicki,355,129 136,"27,49",6,296,51,1,232,9,0,0,2,0,0,0,0,0,0,111
"",20,m. Kraków,2 279,779 115,"29,25",37,1 820,421,33,499,196,3,4,43,6,0,0,34,32,0,1 429
"",21,m. Nowy Sącz,559,83 794,"66,71",16,473,70,3,307,27,106,0,106,3,0,0,7,0,0,0
"",22,m. Tarnów,100,108 470,"9,22",1,85,14,8,22,7,0,0,0,0,0,0,0,0,0,63
"RazemMałopolska",11 011,3 410 901,"32,28",194,8 533,2 267,89,4 371,666,603,7,718,129,0,0,136,57,2,4 233,,
