Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 02.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,"Uczelnie/Akademiki",Wesela,"Puby,KawiarnieRestauracje,Kluby","Inne przypadkizachorowań"
1,bocheński,437,106 858,"40,90 / 13,48",29,257,144,3,124,13,240,0,11,17,0,26,0,3
2,brzeski,146,93 201,"15,67",2,69,73,3,29,50,0,2,1,0,0,0,21,40
3,chrzanowski,72,124 536,"5,78",2,51,19,1,27,1,0,0,16,0,0,0,0,27
4,dąbrowski,47,59 174,"7,94",0,28,19,2,38,1,0,0,0,0,0,0,0,6
5,gorlicki,134,108 886,"12,31",2,69,63,2,87,5,0,0,,4,,,,36
6,krakowski,323,279 239,"11,57",3,136,184,6,95,28,0,0,5,0,0,2,4,183
7,limanowski,525,131 764,"39,84 / 22,08",7,226,291,0,327,29,0,0,0,0,0,0,0,169
8,miechowski,44,48 818,"9,01",0,18,26,0,25,0,0,0,0,0,0,0,0,19
9,myślenicki,280,127 600,"21,94",0,227,53,0,149,21,0,0,45,0,0,2,0,63
10,nowosądecki,1 245,216 796,"57,43 / 25,69",14,674,557,7,784,41,57,,268,1,,19,,68
11,nowotarski,564,191 782,"29,41 / 19,81",8,176,380,2,272,69,0,0,1,2,0,0,0,218
12,olkuski,59,111 217,"5,30",0,32,27,4,7,8,0,0,17,0,0,0,0,23
13,oświęcimski,382,153 486,"24,89",6,234,142,2,202,16,0,0,0,0,0,0,0,162
14,proszowicki,35,43 222,"8,10",2,15,18,2,6,7,2,0,0,0,0,0,0,18
15,suski,259,84 232,"30,75",2,224,33,2,136,3,,,55,,,15,,48
16,tarnowski,278,201 497,"13,80",8,138,132,6,162,3,56,0,0,0,0,0,0,51
17,tatrzański,269,68 072,"39,52 / 12,78",2,180,87,2,171,13,0,0,12,0,0,0,0,71
18,wadowicki,270,160 006,"16,87",6,146,118,0,168,19,0,0,3,0,0,0,0,80
19,wielicki,274,129 136,"21,22",5,147,121,1,220,9,0,0,0,0,0,0,0,44
20,m. Kraków,1 542,779 115,"19,79 / 11,59",25,614,903,30,354,130,0,0,24,0,0,34,32,938
21,m. Nowy Sącz,489,83 794,"58,36 / 32,46",12,205,272,3,256,17,104,0,102,0,0,7,0,0
22,m. Tarnów,64,108 470,"5,90",0,32,32,8,22,3,0,0,0,0,0,0,0,31
"RazemMałopolska",7 738,3 410 901,"22,69 / 10,83",135,3 898,3 694,86,3 661,486,459,2,560,24,0,105,57,2 298,
