Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 10.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,"Uczelnie /akademiki",Wesela,"Puby,kawiarnie,restauracje,kluby","Inne przypadkizachorowań"
1,bocheński,447,106 858,"41,83",30,388,22,3,125,13,240,0,12,17,0,26,0,11
2,brzeski,151,93 201,"16,20",2,99,48,3,33,50,1,2,1,0,0,0,21,40
3,chrzanowski,93,124 536,"7,47",3,58,32,1,38,1,0,0,16,0,0,2,0,35
4,dąbrowski,48,59 174,"8,11",0,39,9,2,38,1,0,0,0,0,0,0,0,7
5,gorlicki,151,108 886,"13,87",2,106,43,2,97,5,0,0,0,5,0,0,0,42
6,krakowski,385,279 239,"13,79",3,274,108,6,122,29,0,0,5,0,0,2,4,217
7,limanowski,581,131 764,"44,09 / 10,02",8,440,132,0,356,29,0,0,0,0,0,0,0,196
8,miechowski,54,48 818,"11,06",0,37,17,0,25,0,0,0,0,0,0,0,0,29
9,myślenicki,335,127 600,"26,25",0,270,65,0,164,21,0,0,57,0,0,2,0,91
10,nowosądecki,1 300,216 796,"59,96 / 20,99",17,828,455,7,817,45,64,1,276,3,0,19,0,68
11,nowotarski,640,191 782,"33,37 / 11,58",11,407,222,2,300,70,0,0,10,2,0,0,0,256
12,olkuski,68,111 217,"6,11",0,46,22,4,7,8,0,0,20,0,0,0,0,29
13,oświęcimski,396,153 486,"25,80",6,339,51,2,210,16,0,0,0,0,0,0,0,168
14,proszowicki,41,43 222,"9,49",2,29,10,2,8,7,2,0,0,0,0,0,0,22
15,suski,279,84 232,"33,12",2,250,27,2,141,4,0,0,55,1,0,19,0,57
16,tarnowski,289,201 497,"14,34",9,239,41,6,162,3,56,0,,,,,,62
17,tatrzański,293,68 072,"43,04",4,248,41,2,174,13,0,0,19,0,0,0,0,85
18,wadowicki,315,160 006,"19,69",6,220,89,0,184,28,1,0,7,0,0,0,0,95
19,wielicki,302,129 136,"23,39",5,172,124,1,232,9,0,0,2,0,0,0,0,58
20,m. Kraków,1 771,779 115,"22,73",29,1 259,483,32,453,132,0,0,25,0,0,34,32,1 063
21,m. Nowy Sącz,501,83 794,"59,79 / 27,81",13,255,233,3,267,17,105,0,102,0,0,7,0,0
22,m. Tarnów,79,108 470,"7,28",0,57,22,8,22,3,0,0,0,0,0,0,0,46
"RazemMałopolska",8 519,3 410 901,"24,98",152,6 060,2 296,88,3 975,504,469,3,607,28,0,111,57,2 677,
