"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 17.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,453,106 858,"42,39",30,395,21,3,126,13,240,0,12,17,0,0,26,0,0,16
"",2,brzeski,160,93 201,"17,17",2,142,14,3,33,50,8,2,1,0,0,0,0,21,0,42
"",3,chrzanowski,99,124 536,"7,95",4,71,24,1,38,1,0,0,16,0,0,0,2,0,0,41
"",4,dąbrowski,49,59 174,"8,28",0,47,2,2,38,1,0,0,0,0,0,0,0,0,0,8
"",5,gorlicki,153,108 886,"14,05",2,137,14,2,84,5,0,0,0,5,0,0,13,0,0,44
"",6,krakowski,471,279 239,"16,87",4,330,137,6,135,32,0,0,5,2,0,0,2,4,0,285
"",7,limanowski,617,131 764,"46,83 / 10,32",8,472,136,0,357,29,0,0,0,3,0,0,0,0,1,227
"",8,miechowski,72,48 818,"14,75",0,45,27,0,26,0,0,0,0,0,0,0,0,0,0,46
"",9,myślenicki,402,127 600,"31,50",0,295,107,0,180,23,0,0,67,1,0,0,2,0,0,129
"",10,nowosądecki,1 324,216 796,"61,07 / 17,16",20,932,372,7,839,47,64,1,276,3,0,0,19,0,0,68
"",11,nowotarski,739,191 782,"38,53 / 12,04",14,493,231,2,342,69,1,0,16,7,0,0,0,0,1,301
"",12,olkuski,111,111 217,"9,98",0,60,51,4,7,8,0,0,39,3,0,0,0,0,0,50
"",13,oświęcimski,406,153 486,"26,45",7,364,35,2,210,16,0,0,0,0,0,0,0,0,0,178
"",14,proszowicki,62,43 222,"14,34",3,35,24,2,8,7,22,0,0,0,0,0,0,0,0,23
"",15,suski,303,84 232,"35,97",2,270,31,2,142,5,0,0,55,2,0,0,19,0,0,78
"",16,tarnowski,293,201 497,"14,54",9,259,25,6,162,3,56,0,0,0,0,0,0,0,0,66
"",17,tatrzański,329,68 072,"48,33",4,266,59,2,175,13,0,0,25,13,0,0,0,0,0,101
"",18,wadowicki,339,160 006,"21,19",7,252,80,0,187,28,1,0,8,0,0,0,0,0,0,115
"",19,wielicki,307,129 136,"23,77",6,274,25,1,232,9,0,0,2,0,0,0,0,0,0,63
"",20,m. Kraków,1 913,779 115,"24,55",32,1 430,451,33,469,147,0,0,25,4,0,0,34,32,0,1 169
"",21,m. Nowy Sącz,514,83 794,"61,34 / 25,30",13,289,212,3,279,18,105,0,102,0,0,0,7,0,0,0
"",22,m. Tarnów,85,108 470,"7,84",1,64,20,8,22,4,0,0,0,0,0,0,0,0,0,51
"RazemMałopolska",9 201,3 410 901,"26,98",168,6 922,2 098,89,4 091,528,497,3,649,60,0,0,124,57,2,3 101,,
