Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 07.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,"Uczelnie/Akademiki",Wesela,"Puby,KawiarnieRestauracje,Kluby","Inne przypadkizachorowań"
1,bocheński,444,106 858,"41,55",30,376,31,3,126,13,240,0,11,17,0,26,0,8
2,brzeski,149,93 201,"15,99",2,99,46,3,32,50,0,2,1,0,0,0,21,40
3,chrzanowski,82,124 536,"6,58",3,55,24,1,30,1,0,0,16,0,0,2,0,32
4,dąbrowski,47,59 174,"7,94",0,35,12,2,38,1,0,0,0,0,0,0,0,6
5,gorlicki,150,108 886,"13,78",2,102,46,2,97,5,0,0,0,5,0,0,0,41
6,krakowski,362,279 239,"12,96",3,217,142,6,115,28,0,0,5,0,0,2,4,202
7,limanowski,558,131 764,"42,35 / 18,97",7,300,250,0,349,29,0,0,0,0,0,0,0,180
8,miechowski,48,48 818,"9,83",0,35,13,0,25,0,0,0,0,0,0,0,0,23
9,myślenicki,312,127 600,"24,45",0,255,57,0,154,21,0,0,53,0,0,2,0,82
10,nowosądecki,1 289,216 796,"59,46 / 21,73",14,804,471,7,811,45,64,0,274,1,0,19,0,68
11,nowotarski,614,191 782,"32,02 / 14,29",11,329,274,2,293,70,0,0,7,2,0,0,0,240
12,olkuski,67,111 217,"6,02",0,40,27,4,7,8,0,0,20,0,0,0,0,28
13,oświęcimski,393,153 486,"25,60",6,318,69,2,208,16,0,0,0,0,0,0,0,167
14,proszowicki,39,43 222,"9,02",2,26,11,2,7,7,2,0,0,0,0,0,0,21
15,suski,275,84 232,"32,65",2,249,24,2,140,3,0,0,55,0,0,19,0,56
16,tarnowski,287,201 497,"14,24",9,227,51,6,162,3,56,0,0,0,0,0,0,60
17,tatrzański,281,68 072,"41,28",4,231,46,2,171,13,0,0,16,0,0,0,0,79
18,wadowicki,303,160 006,"18,94",6,191,106,0,181,27,1,0,6,0,0,0,0,88
19,wielicki,294,129 136,"22,77",5,171,117,1,227,9,0,0,2,0,0,0,0,55
20,m. Kraków,1 688,779 115,"21,67",29,1 042,617,32,430,131,0,0,25,0,0,34,32,1 004
21,m. Nowy Sącz,498,83 794,"59,43 / 28,52",13,246,239,3,264,17,105,0,102,0,0,7,0,0
22,m. Tarnów,76,108 470,"7,01",0,55,21,8,22,3,0,0,0,0,0,0,0,43
"RazemMałopolska",8 256,3 410 901,"24,20",148,5 403,2 694,88,3 889,500,468,2,593,25,0,111,57,2 523,
